year,population
1328,92000
1329,95000
1330,97000
1331,100000
1332,103000
1333,106000
1334,108000
1335,111000
1336,114000
1337,118000
1338,121000
1339,124000
1340,128000
1341,131000
1342,135000
1343,138000
1344,142000
1345,146000
1346,150000
1347,154000
1348,159000
1349,163000
1350,168000
1351,172000
1352,177000
1353,182000
1354,187000
1355,194000
1356,203000
1357,212000
1358,222000
1359,231000
1360,242000
1361,253000
1362,264000
1363,276000
1364,288000
1365,298000
1366,308000
1367,317000
1368,327000
1369,338000
1370,351000
1371,366000
1372,381000
1373,397000
1374,413000
1375,427000
1376,439000
1377,452000
1378,465000
1379,479000
1380,492000
1381,507000
1382,521000
1383,537000
1384,552000
1385,568000
1386,584000
1387,600000
1388,617000
1389,634000
1390,645000
1391,653000
1392,662000
1393,670000
1394,678000
1395,686000
1396,695000
1397,704000
1398,713000
